0
1
23,75
13,5
6,375
-0,625
-3,375
1,0625
9,75
19,3125
27,125
36,1875
44,875
50,9375
55,8125
55,3125
48,0625
38,125
25,1875
8,9375
-5,375
-15,125
-18,875
-18,6875
-13,8125
-5,0625
7,3125
19,6875
31,9375
40,8125
42,875
39,625
31,9375
19
2,5
-12,125
-23,875
-29,8125
-29,75
-25,5625
-18,9375
-10,125
-0,4375
6
6,4375
10,75
15,4375
14,6875
12,6875
14,9375
21,625
33,625
45,625
55,5625
67
74,4375
77,5
82,5625
84,25
82,9375
80,875
75,3125
70,0625
67,875
68
71,1875
75,75
80,0625
85,375
85,1875
82,0625
78,375
71,5
63,4375
54,8125
50,5
49,25
46,75
47,5
52,4375
59,0625
68,625
75,1875
77,125
78,875
74,8125
63,6875
49,75
35,625
23,375
13,875
7,0625
5,75
7,4375
12,8125
18
19,625
23,0625
23,4375
21,4375
17,5
13,5
10,9375
5,5625
0,3125
-0,5
0,6875
1,9375
4,1875
6
8,375
9,1875
7,5
6
5,8125
